place_id,nama_tempat,alamat,jenis_bisnis,rating,jumlah_review,jam_operasional,harga_start,harga_end,latitude,longitude,telepon,website,keyword,jalan,kelurahan,kecamatan,kota,provinsi
ChIJhaPc7XaPcC4RjRquGAb9kQE,Bakmi Surabaya Cak Dul 2,"Jl. Mulawarman Selatan Raya No.18, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278, Indonesia",Restoran Mie,4.0,495,Senin: 07.30–23.30 | Selasa: 07.30–23.30 | Rabu: 07.30–23.30 | Kamis: 07.30–23.30 | Jumat: 07.30–23.30 | Sabtu: 07.30–23.30 | Minggu: 07.30–23.30,1.0,25000.0,-7.068204199999999,110.4372738,0821-3400-6730,,bakmi,Jl. Mulawarman Selatan Raya No.18,Kramas,Tembalang,Semarang,Jawa Tengah
ChIJtXUqbImPcC4RdXRvTOFnNlY,BAKSU (Bakmie & Katsu),"Jl. Timoho Bar. III No.38, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Restoran Mie,4.3,144,Senin: 09.00–21.00 | Selasa: 09.00–21.00 | Rabu: 09.00–21.00 | Kamis: 09.00–21.00 | Jumat: 09.00–21.00 | Sabtu: 09.00–21.00 | Minggu: 09.00–21.00,1.0,25000.0,-7.057076,110.444335,0895-3605-97975,,bakmi,Jl. Timoho Bar. III No.38,Bulusan,Tembalang,Semarang,Jawa Tengah
ChIJJatTaFuPcC4RgzWs9JqpT4w,"Pondok Bakmie Surabaya ""Cak Dul""","Jl. Banjarsari Raya Tembalang No.44, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Mie,3.4,64,Senin: 07.00–23.30 | Selasa: 07.00–23.30 | Rabu: 07.00–23.30 | Kamis: 07.00–23.30 | Jumat: 07.00–23.30 | Sabtu: 07.00–23.30 | Minggu: 07.00–23.30,1.0,25000.0,-7.0597334,110.4400997,0813-2803-2121,,bakmi,Jl. Banjarsari Raya Tembalang No.44,Tembalang,Tembalang,Semarang,Jawa Tengah
ChIJ6c-rHNeNcC4RxFrb1LRitnY,Bakmi Juned,"Jl. Sambiroto, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,4.7,158,Senin: Tutup | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: Tutup,1.0,25000.0,-7.0240155,110.4587897,,,bakmi,Jl. Sambiroto,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJecbeHbSNcC4R8qA_dqzD6_0,Bakmi Jowo Pak Pardi,"WCVP+V7G, Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Mie,4.5,73,Senin: 17.30–23.00 | Selasa: 17.30–23.00 | Rabu: 17.30–23.00 | Kamis: 17.30–23.00 | Jumat: 17.30–23.00 | Sabtu: 17.30–23.00 | Minggu: 17.30–23.00,1.0,25000.0,-7.0553237,110.4357042,,,bakmi,"WCVP+V7G, Jl. Prof. Soedarto",Tembalang,Tembalang,Semarang,Jawa Tengah
ChIJgbGyRs2NcC4RkLPvVSfeiSA,Bakmi Jowo Pakde No,"XF4F+PXX, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.7,222,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0431352,110.4749919,0858-0284-2523,,bakmi,XF4F+PXX,Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJQx9PIwCNcC4R_y1_VUp6Slw,Bakmie Polsek Nasihuy cabang tembalang,"Jl. Adi Patiunus No.16-2, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Indonesia,5.0,1,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,,,-7.055036299999999,110.4346931,,,bakmi,Jl. Adi Patiunus No.16-2,Tembalang,Tembalang,Semarang,Jawa Tengah
ChIJWYKmHoWOcC4R1ymWqWklW44,Bakmi Jowo Mas Bambang (dwi),"Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,4.6,120,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.062676199999999,110.4638247,,,bakmi,,Meteseh,Tembalang,Semarang,Jawa Tengah
ChIJK2zTIwOMcC4RgWbHxRmji1g,Mie Ayam Jakarta Bang Mail,"Jl baskoro no, 75, RT.3/RW.7, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Mie,4.6,1261,Senin: 09.00–18.00 | Selasa: 09.00–18.00 | Rabu: 09.00–18.00 | Kamis: 09.00–18.00 | Jumat: 09.00–18.00 | Sabtu: 09.00–18.00 | Minggu: Tutup,1.0,25000.0,-7.053149,110.43683,0896-6133-9995,,bakmi,"Jl baskoro no, 75, RT.3/RW.7",Tembalang,Tembalang,Semarang,Jawa Tengah
ChIJU36TEzWMcC4RzjNq9h6ee0A,Mie Surabaya Cak Bagus Ketileng,"Depan SDIT Tunas Harapan, Ruko Mutiara Gading A4, Jl. Ketileng Indah Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.5,458,Senin: 16.00–23.55 | Selasa: 16.00–23.55 | Rabu: 16.00–23.55 | Kamis: 16.00–23.55 | Jumat: 16.00–23.55 | Sabtu: 16.00–23.55 | Minggu: 16.00–23.55,1.0,25000.0,-7.0353436,110.4717919,0822-3047-3223,,bakmi,"Depan SDIT Tunas Harapan, Ruko Mutiara Gading A4, Jl. Ketileng Indah Raya",Sendangmulyo,Tembalang,Semarang,Jawa Tengah
