Place ID,Nama Tempat,Alamat,Jenis Bisnis,Rating,Jumlah Review,Jam Operasional,Harga Start,Harga End,Latitude,Longitude,Telepon,Website,Keyword
ChIJeXbyGyGPcC4Rg7-5wOCeOeA,Bakmi Tantjap Tembalang,"Area NJ Guest House, Jl. Jatimulyo No.9 Lt. 2, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268, Indonesia",Restoran,4.8,360,Senin: 10.00–23.30 | Selasa: 10.00–23.30 | Rabu: 10.00–23.30 | Kamis: 10.00–23.30 | Jumat: 10.00–23.30 | Sabtu: 10.00–23.30 | Minggu: 10.00–23.30,25000.0,50000.0,-7.0569665,110.4335021,0851-3858-4778,,bakmi
ChIJ5WOtWQCPcC4RedscHY-t5fw,Bakmi Serangkai Tembalang,"Jl. Mulawarman Raya No.11, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50264, Indonesia",Restoran Mie,4.4,81,Senin: 12.00–01.00 | Selasa: 12.00–01.00 | Rabu: 12.00–01.00 | Kamis: 12.00–01.00 | Jumat: 13.00–01.00 | Sabtu: 12.00–01.00 | Minggu: 12.00–01.00,25000.0,50000.0,-7.0682949,110.4338875,0822-2527-1048,,bakmi
ChIJTYgZCgCNcC4RmHHSNBKPfYs,Bakmi Polsek Nasihuy Cabang tembalang,"WCWJ+8HX, Jl. Prof. Soedarto, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50268, Indonesia",Restoran Indonesia,5.0,3,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,,,-7.0541331,110.4314746,,,bakmi
ChIJhaPc7XaPcC4RjRquGAb9kQE,Bakmi Surabaya Cak Dul 2,"Jl. Mulawarman Selatan Raya No.18, Kramas, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278, Indonesia",Restoran Mie,4.0,495,Senin: 07.30–23.30 | Selasa: 07.30–23.30 | Rabu: 07.30–23.30 | Kamis: 07.30–23.30 | Jumat: 07.30–23.30 | Sabtu: 07.30–23.30 | Minggu: 07.30–23.30,1.0,25000.0,-7.068204199999999,110.4372738,0821-3400-6730,,bakmi
ChIJtXUqbImPcC4RdXRvTOFnNlY,BAKSU (Bakmie & Katsu),"Jl. Timoho Bar. III No.38, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Restoran Mie,4.3,144,Senin: 09.00–21.00 | Selasa: 09.00–21.00 | Rabu: 09.00–21.00 | Kamis: 09.00–21.00 | Jumat: 09.00–21.00 | Sabtu: 09.00–21.00 | Minggu: 09.00–21.00,1.0,25000.0,-7.0570759999999995,110.444335,0895-3605-97975,,bakmi
ChIJJatTaFuPcC4RgzWs9JqpT4w,"Pondok Bakmie Surabaya ""Cak Dul""","Jl. Banjarsari Raya Tembalang No.44, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Mie,3.4,64,Senin: 07.00–23.30 | Selasa: 07.00–23.30 | Rabu: 07.00–23.30 | Kamis: 07.00–23.30 | Jumat: 07.00–23.30 | Sabtu: 07.00–23.30 | Minggu: 07.00–23.30,1.0,25000.0,-7.0597334,110.44009969999999,0813-2803-2121,,bakmi
ChIJ6c-rHNeNcC4RxFrb1LRitnY,Bakmi Juned,"Jl. Sambiroto, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,4.7,158,Senin: Tutup | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: Tutup,1.0,25000.0,-7.0240155,110.45878970000001,,,bakmi
ChIJecbeHbSNcC4R8qA_dqzD6_0,Bakmi Jowo Pak Pardi,"WCVP+V7G, Jl. Prof. Soedarto, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Mie,4.5,73,Senin: 17.30–23.00 | Selasa: 17.30–23.00 | Rabu: 17.30–23.00 | Kamis: 17.30–23.00 | Jumat: 17.30–23.00 | Sabtu: 17.30–23.00 | Minggu: 17.30–23.00,1.0,25000.0,-7.0553237,110.43570419999999,,,bakmi
ChIJgbGyRs2NcC4RkLPvVSfeiSA,Bakmi Jowo Pakde No,"XF4F+PXX, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.7,222,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0431352,110.47499189999999,0858-0284-2523,,bakmi
ChIJQx9PIwCNcC4R_y1_VUp6Slw,Bakmie Polsek Nasihuy cabang tembalang,"Jl. Adi Patiunus No.16-2, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Indonesia,5.0,1,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,,,-7.055036299999999,110.43469309999999,,,bakmi
